"Server","Online","WinRMService","WinRMPortOpen","WSManAvailable","TotalRAM_GB","CPU_Cores","Disks"
"srv1","on","error","error","error","N/A","N/A","N/A"
"srv2","on","on","on","on","128","10 10","C: (31.09/49.88 GB), D: (19.72/19.98 GB), E: (6.94/14.98 GB), F: (149.89/149.98 GB)"
"srv3","on","error","error","error","N/A","N/A","N/A"
"srv4","on","on","on","on","128","10 10","C: (31.18/49.88 GB), D: (19.71/19.98 GB), E: (6.94/14.98 GB)"
"srv5","on","on","on","on","128","10","C: (31.12/49.88 GB), D: (19.78/19.98 GB), E: (6.94/14.98 GB)"
"srv6","on","on","on","on","128","10 10","C: (31.59/49.88 GB), D: (19.78/19.98 GB), E: (6.94/14.98 GB)"
"srv7","on","on","on","on","128","10 10","C: (31.11/49.88 GB), D: (19.78/19.98 GB), E: (6.94/14.98 GB)"
"srv8","on","on","on","on","128","10","C: (31.39/49.88 GB), D: (19.71/19.98 GB), E: (6.94/14.98 GB), F: (149.89/149.98 GB)"
"srv9","on","on","on","on","64","10","C: (31.42/49.88 GB), D: (19.72/19.98 GB), E: (6.94/14.98 GB)"
"srv10","on","on","on","on","128","10 10","C: (31.09/49.88 GB), D: (19.71/19.98 GB), E: (6.94/14.98 GB)"
"srv11","on","on","on","on","12","4","C: (31.23/49.88 GB), D: (19.72/19.98 GB), E: (6.94/14.98 GB)"
"srv12","on","on","on","on","8","4","C: (31.44/49.88 GB), D: (19.78/19.98 GB), E: (6.94/14.98 GB)"
"srv13","on","on","on","on","8","4","C: (31.1/49.88 GB), D: (19.78/19.98 GB), E: (6.94/14.98 GB)"
"srv14","on","on","on","on","2000","40 40","C: (29.75/49.88 GB), D: (19.79/19.98 GB), E: (6.94/14.98 GB), F: (5998.84/5999.98 GB), L: (999.89/999.98 GB), T: (999.82/999.98 GB)"
"srv15","on","on","on","on","2000","40 40","C: (29.76/49.88 GB), D: (19.8/19.98 GB), E: (6.94/14.98 GB), F: (5998.84/5999.98 GB), L: (999.89/999.98 GB), T: (999.82/999.98 GB)"
